t,x,y,z
0.173,0.872458,0,0.908283
0.174,0.877495,0,0.911521
0.175,0.882531,0,0.91475
0.176,0.887567,0,0.917969
0.177,0.892603,0,0.921178
0.178,0.897639,0,0.924377
0.179,0.902674,0,0.927566
0.18,0.90771,0,0.930746
0.181,0.912746,0,0.933915
0.182,0.917781,0,0.937075
0.183,0.922817,0,0.940225
0.184,0.927852,0,0.943365
0.185,0.932888,0,0.946495
0.186,0.937923,0,0.949616
0.187,0.942958,0,0.952727
0.188,0.947993,0,0.955827
0.189,0.953028,0,0.958918
0.19,0.958063,0,0.961999
0.191,0.963098,0,0.965071
0.192,0.968132,0,0.968132
0.193,0.973167,0,0.971184
0.194,0.978202,0,0.974226
0.195,0.983236,0,0.977258
0.196,0.988271,0,0.98028
0.197,0.993305,0,0.983292
0.198,0.998339,0,0.986294
0.199,1.00337,0,0.989287
0.2,1.00841,0,0.99227
0.201,1.01344,0,0.995243
0.202,1.01848,0,0.998206
0.203,1.02351,0,1.00116
0.204,1.02854,0,1.0041
0.205,1.03358,0,1.00704
0.206,1.03861,0,1.00996
0.207,1.04364,0,1.01287
0.208,1.04868,0,1.01578
0.209,1.05371,0,1.01867
0.21,1.05874,0,1.02156
0.211,1.06378,0,1.02443
0.212,1.06881,0,1.0273
0.213,1.07384,0,1.03015
0.214,1.07888,0,1.033
0.215,1.08391,0,1.03583
0.216,1.08894,0,1.03866
0.217,1.09397,0,1.04147
0.218,1.09901,0,1.04428
0.219,1.10404,0,1.04707
0.22,1.10907,0,1.04986
0.221,1.1141,0,1.05264
0.222,1.11914,0,1.0554
0.223,1.12417,0,1.05816
0.224,1.1292,0,1.06091
0.225,1.13423,0,1.06364
0.226,1.13926,0,1.06637
0.227,1.1443,0,1.06909
0.228,1.14933,0,1.0718
0.229,1.15436,0,1.07449
0.23,1.15939,0,1.07718
0.231,1.16442,0,1.07986
0.232,1.16945,0,1.08253
0.233,1.17448,0,1.08518
0.234,1.17952,0,1.08783
0.235,1.18455,0,1.09047
0.236,1.18958,0,1.0931
0.237,1.19461,0,1.09572
0.238,1.19964,0,1.09833
0.239,1.20467,0,1.10093
0.24,1.2097,0,1.10352
0.241,1.21473,0,1.1061
0.242,1.21976,0,1.10867
0.243,1.22479,0,1.11123
0.244,1.22982,0,1.11378
0.245,1.23485,0,1.11632
0.246,1.23988,0,1.11885
0.247,1.24491,0,1.12137
0.248,1.24994,0,1.12388
0.249,1.25497,0,1.12638
0.25,1.26,0,1.12887
0.251,1.26503,0,1.13135
0.252,1.27006,0,1.13382
0.253,1.27509,0,1.13628
0.254,1.28012,0,1.13874
0.255,1.28515,0,1.14118
0.256,1.29018,0,1.14361
0.257,1.29521,0,1.14603
0.258,1.30024,0,1.14844
0.259,1.30527,0,1.15085
0.26,1.3103,0,1.15324
0.261,1.31533,0,1.15562
0.262,1.32036,0,1.158
0.263,1.32538,0,1.16036
0.264,1.33041,0,1.16271
0.265,1.33544,0,1.16506
0.266,1.34047,0,1.16739
0.267,1.3455,0,1.16971
0.268,1.35053,0,1.17203
0.269,1.35555,0,1.17433
0.27,1.36058,0,1.17663
0.271,1.36561,0,1.17891
0.272,1.37064,0,1.18118
0.273,1.37567,0,1.18345
0.274,1.38069,0,1.1857
0.275,1.38572,0,1.18795
0.276,1.39075,0,1.19019
0.277,1.39578,0,1.19241
0.278,1.4008,0,1.19463
0.279,1.40583,0,1.19683
0.28,1.41086,0,1.19903
0.281,1.41589,0,1.20121
0.282,1.42091,0,1.20339
0.283,1.42594,0,1.20556
0.284,1.43097,0,1.20771
0.285,1.43599,0,1.20986
0.286,1.44102,0,1.212
0.287,1.44605,0,1.21413
0.288,1.45107,0,1.21624
0.289,1.4561,0,1.21835
0.29,1.46113,0,1.22045
0.291,1.46615,0,1.22254
0.292,1.47118,0,1.22461
0.293,1.47621,0,1.22668
0.294,1.48123,0,1.22874
0.295,1.48626,0,1.23079
0.296,1.49128,0,1.23283
0.297,1.49631,0,1.23486
0.298,1.50133,0,1.23687
0.299,1.50636,0,1.23888
0.3,1.51139,0,1.24088
0.301,1.51641,0,1.24287
0.302,1.52144,0,1.24485
0.303,1.52646,0,1.24682
0.304,1.53149,0,1.24878
0.305,1.53651,0,1.25073
0.306,1.54154,0,1.25267
0.307,1.54656,0,1.2546
0.308,1.55159,0,1.25652
0.309,1.55661,0,1.25843
0.31,1.56164,0,1.26034
0.311,1.56666,0,1.26223
0.312,1.57169,0,1.26411
0.313,1.57671,0,1.26598
0.314,1.58173,0,1.26784
0.315,1.58676,0,1.26969
0.316,1.59178,0,1.27153
0.317,1.59681,0,1.27337
0.318,1.60183,0,1.27519
0.319,1.60685,0,1.277
0.32,1.61188,0,1.2788
0.321,1.6169,0,1.2806
0.322,1.62192,0,1.28238
0.323,1.62695,0,1.28415
0.324,1.63197,0,1.28592
0.325,1.63699,0,1.28767
